id,name,family,safety,suggested_ns_color,confidence,reason
"2b84a892-87f4-43cb-859c-e2de54c59176","Control Rule Exercise (KC)","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"2f4a7b31-e201-48c5-8563-c83f197db5be","Mountain Hikers","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"0a068445-f79f-4b7c-a6a4-1fd8d48e139c","Biased Eccentric Calf Raises","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"7648e50b-de3e-49bc-a86d-51c1bdff0ba2","Calf Raises","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"dd3d3288-e117-4332-896b-0aedd12cd55d","Lumbar Extension","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"fafd0fcd-8184-4c58-ba40-c7d25853d71d","Single Leg - Pelvic Bridge (SL-PB)","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"ff3e3678-eb53-4a6d-bec5-d5902fa92052","Single Leg Lateral Hops","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"562857d3-2d38-4954-8359-3b9fa3a1e527","Unilateral One Inch Heel Raise","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"6e687d0c-468e-4514-ab50-867374f4abd4","Runner’s Stance Holds","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"b3be28f6-01b4-4acd-b078-2f6d7472c031","Hip Hitch","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"6b25aede-148d-45ad-ba60-46c340855912","Single Leg Eccentric Bridge","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"304655f8-c7db-4029-94b6-72cc4d65e139","Modified Horse Stance","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"5fe6fc9f-f195-4cec-8436-12b011fa9e43","Single Leg Glute Bridge","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"4d0c7446-e7c7-46b2-93ac-73f36e46f33b","Single Leg Floor Taps","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"0d6a1bd0-898a-49de-92ad-100e141ca842","Single Leg Planks","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"7c386dea-c1cf-4aba-a0b0-9b7f4d5fa1d2","Static Balance Progression","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"1665b7f3-75f4-4fbd-a731-1c7ef8cf8677","Static Balance Progression","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"b973b841-cc9d-4547-9bfa-daac16864def","R3 Anchor (Settle → Build)","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"dd4c75b6-e572-4338-94a2-7a6b3d785132","Balance Pad Single Leg Stance","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"cafc3f88-7145-4e0a-b417-3e679406f0b8","Balance Pad Side Step","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"8326a2e6-0908-4551-a493-54c8b5b42c8b","Wobble","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"070a021d-92c8-4bef-aa8b-dc016e1e489a","Hip Dips","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"b3257284-779f-4f94-8e85-ad0c4ad13757","Assisted Single Leg Stance","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"e29d47b6-1ac9-407b-ac40-cfab01539c7f","Single Leg Landmine Glute Bridge","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"9d3c6e53-f6ac-4dfd-b529-59980f3830c6","Tensegrity shifts within Anatomy Trains. Dysfunction causes constant, uneven tension shifts due to mechanical joint connections.","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"63d7b644-c77a-4a72-bdb2-a6fbcec4c32b","Balance / Vertigo (Track R3)","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"100ff276-b064-4e9f-9369-1c3f95eb9756","Standing Hip Dip","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
